,NT,F,NF,Accuracy,1,2,3,4,5,6
0,1,M/4,1,0.685,persons: 1.0,buying: 0.0,maint: 0.0,doors: 0.0,lug_boot: 0.0,safety: 0.0
1,1,M/2,3,0.685,buying: 0.444,maint: 0.29,lug_boot: 0.266,doors: 0.0,persons: 0.0,safety: 0.0
2,1,3*M/4,4,0.783,buying: 0.279,persons: 0.251,lug_boot: 0.244,safety: 0.225,maint: 0.0,doors: 0.0
3,1,"Runif(1,M)",uniform,0.772,doors: 0.35,buying: 0.236,lug_boot: 0.204,maint: 0.129,safety: 0.081,persons: 0.0
4,10,M/4,1,0.685,safety: 0.786,buying: 0.094,lug_boot: 0.061,maint: 0.06,doors: 0.0,persons: 0.0
5,10,M/2,3,0.746,safety: 0.255,buying: 0.234,persons: 0.213,maint: 0.174,lug_boot: 0.096,doors: 0.028
6,10,3*M/4,4,0.815,persons: 0.243,doors: 0.237,buying: 0.205,maint: 0.142,safety: 0.105,lug_boot: 0.067
7,10,"Runif(1,M)",uniform,0.691,doors: 0.345,lug_boot: 0.194,buying: 0.189,safety: 0.144,maint: 0.095,persons: 0.033
8,25,M/4,1,0.685,safety: 0.46,maint: 0.174,buying: 0.165,persons: 0.133,lug_boot: 0.044,doors: 0.023
9,25,M/2,3,0.697,safety: 0.257,buying: 0.224,persons: 0.208,maint: 0.126,doors: 0.11,lug_boot: 0.075
10,25,3*M/4,4,0.876,buying: 0.218,persons: 0.217,safety: 0.159,doors: 0.15,maint: 0.143,lug_boot: 0.113
11,25,"Runif(1,M)",uniform,0.705,doors: 0.262,persons: 0.262,lug_boot: 0.145,buying: 0.12,maint: 0.112,safety: 0.097
12,50,M/4,1,0.685,safety: 0.489,persons: 0.298,maint: 0.1,buying: 0.088,doors: 0.015,lug_boot: 0.011
13,50,M/2,3,0.702,persons: 0.296,safety: 0.25,buying: 0.155,maint: 0.111,lug_boot: 0.111,doors: 0.077
14,50,3*M/4,4,0.803,persons: 0.267,safety: 0.161,buying: 0.159,maint: 0.159,doors: 0.153,lug_boot: 0.101
15,50,"Runif(1,M)",uniform,0.691,doors: 0.267,persons: 0.23,lug_boot: 0.173,buying: 0.167,safety: 0.084,maint: 0.079
16,75,M/4,1,0.685,safety: 0.475,persons: 0.241,buying: 0.121,maint: 0.117,lug_boot: 0.03,doors: 0.016
17,75,M/2,3,0.702,safety: 0.278,persons: 0.262,buying: 0.174,maint: 0.118,lug_boot: 0.09,doors: 0.077
18,75,3*M/4,4,0.824,persons: 0.216,buying: 0.212,doors: 0.176,safety: 0.143,maint: 0.129,lug_boot: 0.124
19,75,"Runif(1,M)",uniform,0.697,persons: 0.285,doors: 0.21,buying: 0.17,lug_boot: 0.145,maint: 0.098,safety: 0.092
20,100,M/4,1,0.685,persons: 0.507,safety: 0.375,maint: 0.047,buying: 0.041,lug_boot: 0.018,doors: 0.011
21,100,M/2,3,0.688,persons: 0.268,buying: 0.219,safety: 0.204,maint: 0.136,doors: 0.091,lug_boot: 0.083
22,100,3*M/4,4,0.803,persons: 0.212,buying: 0.194,doors: 0.169,safety: 0.149,maint: 0.148,lug_boot: 0.128
23,100,"Runif(1,M)",uniform,0.697,persons: 0.261,doors: 0.245,buying: 0.194,lug_boot: 0.119,maint: 0.096,safety: 0.084
