,NT,F,NF,Accuracy,1,2,3,4,5,6,7,8
0,1,1,1,0.562,health: 0.705,parents: 0.201,has_nurs: 0.042,housing: 0.039,social: 0.006,children: 0.004,form: 0.002,finance: 0.0
1,1,3,3,0.965,has_nurs: 0.323,parents: 0.16,social: 0.134,form: 0.129,children: 0.088,housing: 0.059,finance: 0.058,health: 0.049
2,1,log2(M+1),4,0.978,children: 0.31,form: 0.266,housing: 0.157,social: 0.125,finance: 0.075,health: 0.047,parents: 0.011,has_nurs: 0.009
3,1,sqrt(M),2,0.861,health: 0.55,housing: 0.158,form: 0.094,has_nurs: 0.063,parents: 0.042,children: 0.037,finance: 0.028,social: 0.027
4,10,1,1,0.732,health: 0.599,parents: 0.147,has_nurs: 0.118,finance: 0.038,social: 0.032,housing: 0.029,form: 0.02,children: 0.016
5,10,3,3,0.989,health: 0.209,form: 0.161,children: 0.155,housing: 0.141,finance: 0.09,social: 0.09,parents: 0.084,has_nurs: 0.07
6,10,log2(M+1),4,0.995,form: 0.21,children: 0.192,housing: 0.19,finance: 0.116,has_nurs: 0.109,social: 0.076,health: 0.069,parents: 0.037
7,10,sqrt(M),2,0.951,health: 0.263,has_nurs: 0.231,parents: 0.139,children: 0.085,form: 0.083,housing: 0.076,finance: 0.063,social: 0.06
8,25,1,1,0.894,health: 0.433,has_nurs: 0.215,parents: 0.178,housing: 0.051,social: 0.044,children: 0.033,finance: 0.025,form: 0.02
9,25,3,3,0.994,health: 0.234,form: 0.147,housing: 0.132,has_nurs: 0.129,children: 0.117,parents: 0.092,finance: 0.086,social: 0.062
10,25,log2(M+1),4,0.997,form: 0.245,children: 0.175,housing: 0.148,finance: 0.122,has_nurs: 0.093,health: 0.077,parents: 0.076,social: 0.066
11,25,sqrt(M),2,0.978,health: 0.43,has_nurs: 0.153,parents: 0.111,housing: 0.075,form: 0.064,children: 0.064,social: 0.059,finance: 0.044
12,50,1,1,0.902,health: 0.521,has_nurs: 0.19,parents: 0.126,housing: 0.047,children: 0.037,social: 0.029,form: 0.028,finance: 0.022
13,50,3,3,0.995,health: 0.164,has_nurs: 0.158,form: 0.149,children: 0.129,parents: 0.124,housing: 0.117,finance: 0.079,social: 0.079
14,50,log2(M+1),4,0.998,form: 0.224,children: 0.169,housing: 0.16,finance: 0.126,health: 0.106,parents: 0.077,has_nurs: 0.069,social: 0.069
15,50,sqrt(M),2,0.972,health: 0.338,has_nurs: 0.176,parents: 0.132,housing: 0.089,form: 0.078,children: 0.067,social: 0.065,finance: 0.055
16,75,1,1,0.853,health: 0.56,has_nurs: 0.206,parents: 0.109,housing: 0.04,children: 0.025,finance: 0.021,social: 0.02,form: 0.019
17,75,3,3,0.995,health: 0.199,form: 0.157,children: 0.131,housing: 0.117,has_nurs: 0.112,parents: 0.109,finance: 0.093,social: 0.083
18,75,log2(M+1),4,0.996,form: 0.219,children: 0.183,housing: 0.143,finance: 0.12,has_nurs: 0.102,parents: 0.082,social: 0.08,health: 0.072
19,75,sqrt(M),2,0.972,health: 0.405,has_nurs: 0.164,parents: 0.124,housing: 0.071,form: 0.067,children: 0.063,finance: 0.054,social: 0.053
20,100,1,1,0.904,health: 0.526,has_nurs: 0.223,parents: 0.111,housing: 0.034,social: 0.031,children: 0.028,form: 0.025,finance: 0.022
21,100,3,3,0.995,health: 0.229,form: 0.148,has_nurs: 0.123,housing: 0.12,children: 0.118,parents: 0.106,finance: 0.085,social: 0.071
22,100,log2(M+1),4,0.998,form: 0.237,children: 0.182,housing: 0.141,finance: 0.12,health: 0.091,has_nurs: 0.084,parents: 0.074,social: 0.071
23,100,sqrt(M),2,0.977,health: 0.344,has_nurs: 0.161,parents: 0.144,housing: 0.088,form: 0.078,children: 0.069,social: 0.06,finance: 0.057
